Modelo;Cor;Tam;Códico caixa grade;Descrição modelo;QTD PARES;CAIXA GRADE
4147329;133;312;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;Não recomenda;Não recomenda
4147329;133;334;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;1;M0
4147329;133;356;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;2;M0
4147329;133;378;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;3;M0
4147329;133;390;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;3;M0
4147329;133;412;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;2;M0
4147329;133;434;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;1;M0
4147329;133;456;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;Não recomenda;Não recomenda
4147329;4061;290;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;Não recomenda;Não recomenda
4147329;4061;312;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;Não recomenda;Não recomenda
4147329;4061;334;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;1;M0
4147329;4061;356;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;2;M0
4147329;4061;378;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;3;M0
4147329;4061;390;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;3;M0
4147329;4061;412;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;2;M0
4147329;4061;434;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;1;M0
4147329;4061;456;7014391;SANDÁLIA HAVAIANAS SLIDE CLASSIC PRINT;Não recomenda;Não recomenda
4147319;90;290;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;90;312;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;90;334;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;1;M0
4147319;90;356;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;2;M0
4147319;90;378;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;3;M0
4147319;90;390;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;3;M0
4147319;90;412;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;2;M0
4147319;90;434;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;1;M0
4147319;90;456;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;2711;290;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;2711;312;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;2711;334;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;1;M0
4147319;2711;356;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;2;M0
4147319;2711;378;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;3;M0
4147319;2711;390;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;3;M0
4147319;2711;412;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;2;M0
4147319;2711;434;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;1;M0
4147319;2711;456;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;555;290;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;555;312;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147319;555;334;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;1;M0
