CATEGORIA;LINHA;FAMILIA;COD_MOD;COD_GRADE;DESC_MOD;COD_COR;DESC_COR;TAMANHO_ID;COLECAO;FABRICA_ORIGEM;NACIONALIDADE;MULTIPLO;EXCLUSIVO;DATA_LANCAMENTO;PRECO_ADULTO;PRECO_INFANTIL;COD_MOD_DE;COD_COR_DE;HERANCA;TIPO_PREVISAO;REDE_S|SE_COMPACTA;REDE_S|SE_QUIOSQUE;REDE_N|NE|CO_COMPACTA;REDE_N|NE|CO_QUIOSQUE;VOLUME_S|SE_FULL|COMPACTA;VOLUME_S|SE_QUIOSQUE;VOLUME_N|NE|CO_FULL|COMPACTA;VOLUME_N|NE|CO_QUIOSQUE;EXPERIENCIA;E-COMMERCE;CONCEPT;MORUMBI;LEBLON;CONCEPT_RIO;IGUATEMI;M0;M2;M3;M4;M39;M80;M81;M82;M83;M84;M85;M67;F0;F2;F80;F81;F82;F83;F84;F69;F70;J1;J2;J3;I0;I80;I81;I82;B0;B2;B80;B81;B82;HF1;F3;HF4;W11;W12;CS1;CS2;CS3;CS4
SANDÁLIAS;UNISSEX;LICENÇAS;4141765;7011728;SANDÁLIAS HAVAIANAS TOP HERÓIS DC;2090;VERMELHO RUBI;SA334/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,08;;4146366;7611;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147011;-1;SANDALIAS HAVAIANAS TOP CRUELLA FC;90;PRETO;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;31,25;;0;0;1;DEFAULT;;;;;;;;;X;X;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;MASCULINO;TOP;4141398;7011505;SANDÁLIAS HAVAIANAS TOP CAMU;869;MUSGO;SA356/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-07-01;22,08;;4131932;727;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;MASCULINO;TOP;4141398;7011505;SANDÁLIAS HAVAIANAS TOP CAMU;89;AZUL INDIGO;SA356/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-07-01;22,08;;4131932;5002;1;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4122111;7007537;SANDÁLIAS HAVAIANAS SLIM TROPICAL;1256;SALMAO;SA334/412;COLEÇÃO 22/23;A055;NACIONAL;12;;2022-06-01;25,00;;4129848;7174;1;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4122111;7007537;SANDÁLIAS HAVAIANAS SLIM TROPICAL;93;BRANCO/AZUL;SA334/412;COLEÇÃO 22/23;A055;NACIONAL;12;;2022-06-01;25,00;;4129848;121;1;DEFAULT;X;;X;;X;;X;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4146998;-1;SANDALIAS HAVAIANAS SLIM TIME BRASIL FC;2078;VERDE TROPICAL;SA334/412;PRÉ VENDA;A022;NACIONAL;12;;;27,08;;0;0;1;DEFAULT;;;;;;;;;X;X;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4148277;7015197;SANDÁLIAS HAVAIANAS SLIM SQUARE VELVET;90;PRETO;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-09-01;29,16;;4140265;2191;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4148277;7015197;SANDÁLIAS HAVAIANAS SLIM SQUARE VELVET;1976;FERRUGEM;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-09-01;29,16;;4140265;9898;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4148257;7015165;SANDÁLIAS HAVAIANAS SLIM SQUARE LOGO METALLIC;90;PRETO;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,91;;4145617;869;1;DEFAULT;x;;x;;x;;x;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4148257;7015165;SANDÁLIAS HAVAIANAS SLIM SQUARE LOGO METALLIC;1803;AZUL COMFY;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,91;;4145617;869;1;DEFAULT;x;;x;;x;;x;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4148257;7015165;SANDÁLIAS HAVAIANAS SLIM SQUARE LOGO METALLIC;869;MUSGO;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,91;;4145617;869;1;DEFAULT;x;;x;;x;;x;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4148257;7015165;SANDÁLIAS HAVAIANAS SLIM SQUARE LOGO METALLIC;3581;ROSE GOLD;SA334/412;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-06-01;22,91;;4145617;869;1;DEFAULT;x;;x;;x;;x;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
